segment,trench,n_profiles,n_samples,w0_m,te_km,loss_data,loss_phys,loss_bc,rms_fit_m,mad_profiles_m
philippine_03,philippine,8,551,3547.015817180617,8.650847766093944,0.0004840937886754701,0.0003150744935222815,1.310089396434709e-08,78.04190829162987,118.1806255506608
philippine_04,philippine,8,550,3624.4045209251094,8.134630310525841,0.008995770233500422,0.0005162282821273541,6.166078093972265e-07,343.76039572012866,173.35774008810586
philippine_05,philippine,8,548,2339.276905286344,11.198788038792896,0.006642262415178514,0.006351872575324609,4.792658004834222e-07,190.6512459558481,522.3015743392071
puysegur_01,puysegur,8,550,1374.2145859030843,4.798351082088635,0.006005414308431669,0.016688421255382477,5.477419990478495e-06,106.49422099141027,101.80161453744495
ryukyu_01,ryukyu,8,513,2227.725627753304,6.408625111679661,0.011521907726501504,0.09696861379566918,2.0854865870477853e-07,239.1244022582066,426.4461960352419
ryukyu_02,ryukyu,8,491,1129.4631861233474,5.872935129811916,0.012472724973305755,0.04769387050146615,1.709320483251714e-06,126.13997863761534,339.79004845815007
ryukyu_03,ryukyu,6,542,1331.446325991189,7.659512802679861,0.008992788090642977,0.042364980138454175,1.326404608912932e-07,126.26147062171263,127.9701294052868
san_cristobal_01,san_cristobal,8,549,2315.9795682819386,8.671444577888796,0.010552758504001872,0.006718974001862584,2.552183990990125e-07,237.91275357272713,418.6659713656388
san_cristobal_02,san_cristobal,8,551,4076.4349845814977,11.067617388609923,0.0029788629653289362,0.006907080960232334,5.349046795812845e-07,222.48758535124284,257.1190682819383
tonga_01,tonga,8,551,4146.158817180618,10.113888725206193,0.0003989232167691964,0.0015378153515232013,1.7006594709126338e-07,82.81148827089189,47.82527533039638
tonga_02,tonga,8,550,4127.734187224669,10.659386514093947,0.00042166137835332094,0.001959078576827298,7.214885741136758e-08,84.76052428937618,73.6174620044053
tonga_03,tonga,8,547,3987.4058337004403,9.131287601006935,0.0015376349939495444,0.0009599549444342386,1.906380923509233e-08,156.35690565355765,174.7538920704851
tonga_04,tonga,8,525,2634.12426431718,10.577987997563595,0.0023685570850751213,0.007357518523229639,1.9917303197160937e-08,128.19709587829493,94.59116299559537
vityaz_01,vityaz,3,545,3288.921374449339,8.827271422198578,0.01595414909011939,0.008288056013903651,1.6559283131713452e-06,415.42278638780573,136.65765638766516
yap_01,yap,8,545,3182.7532136563877,4.371457281833862,0.005428462799135254,0.013269642272548433,7.704982691659687e-07,234.49921774847965,207.45245594713697
yap_02,yap,8,550,3089.739525330397,8.596033390121217,0.005520662225408619,0.013461676664473635,6.050496208882815e-08,229.57122767082407,234.17304680616712
yap_03,yap,8,550,5325.222466960352,11.919929070656291,0.0034532168981393405,0.011179797059250655,1.0571034448721175e-08,312.9317899993678,284.78038381057195
